"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C5,C6,C9","5","100n","","","","ESP_LoRa_Thermal_V1.62:C1206",""
"C2,C4,C7","3","10u","","","","ESP_LoRa_Thermal_V1.62:C1206",""
"C8","1","4.7u","","","","ESP_LoRa_Thermal_V1.62:C1206",""
"CR1,CR2,CV1,CV2,UNK30V0","5","PINHD-1X2","","","","ESP_LoRa_Thermal_V1.62:1X02",""
"CT1,CT2,CT3","3","PINHD-1X3","","","","ESP_LoRa_Thermal_V1.62:1X03",""
"D1","1","DISPLAY-OLED-128X64-I2C1.3_BIS","","","","ESP_LoRa_Thermal_V1.62:DISPLAY-OLED-128X64-1.3-I2C_BIS",""
"D2,D3","2","CGRM400-G","","","","ESP_LoRa_Thermal_V1.62:SOD-123_MINI-SMA",""
"J1","1","U.FL","","","","ESP_LoRa_Thermal_V1.62:U.FL",""
"JP1","1","PINHD-1X1","","","","ESP_LoRa_Thermal_V1.62:1X01",""
"JP6","1","PINHD-1X6","","","","ESP_LoRa_Thermal_V1.62:1X06",""
"LED_G0,LED_R0","2","LEDSMT1206","","","","ESP_LoRa_Thermal_V1.62:1206",""
"PROG0,RST0","2","10-XX","","","","ESP_LoRa_Thermal_V1.62:B3F-10XX",""
"Q1,Q2","2","DMN2056","","","","ESP_LoRa_Thermal_V1.62:SOT23",""
"Q3,Q5","2","IRF?5305R","","","","ESP_LoRa_Thermal_V1.62:D-PAK_TO252AA",""
"Q4,Q6","2","BSS131","","","","ESP_LoRa_Thermal_V1.62:SOT23",""
"R1","1","100k","","","","ESP_LoRa_Thermal_V1.62:R1206",""
"R2,R6,R7","3","10k","","","","ESP_LoRa_Thermal_V1.62:R1206",""
"R3,R4,R5","3","4.7k","","","","ESP_LoRa_Thermal_V1.62:R1206",""
"R8","1","150","","","","ESP_LoRa_Thermal_V1.62:R1206",""
"R9","1","100","","","","ESP_LoRa_Thermal_V1.62:R1206",""
"TC1,TC2,TC3","3","TTP223R_H","","","","ESP_LoRa_Thermal_V1.62:TTP233RED_H",""
"U1","1","ESP-WROOM-03","","","","ESP_LoRa_Thermal_V1.62:ESP-WROOM-03",""
"U2","1","CARD-µSD-ADAPTERMINI","","","","ESP_LoRa_Thermal_V1.62:CARD-MINI--µSD-READER",""
"U3","1","WIRELESS-LORA-RFM95W#SMD","","","","ESP_LoRa_Thermal_V1.62:WIRELESS-LORA-RFM95W#SMD",""
"U4","1","MIC5239S","","","","ESP_LoRa_Thermal_V1.62:SOT223",""
"U5","1","DC-DC-STEP-DOWN-LM2596SH","","","","ESP_LoRa_Thermal_V1.62:DC-DC-STEP-DOWN-LM2596-SH",""
